venue,year,family,count,venue_year_total,share_pct
ICLR,2023,AI4Science/健康,41,1573,2.6064844246662426
ICLR,2023,其他,493,1573,31.341385886840435
ICLR,2024,大模型,493,2260,21.8141592920354
ICLR,2024,多模态,283,2260,12.52212389380531
ICLR,2024,生成模型,297,2260,13.14159292035398
ICLR,2024,视觉/三维/视频,41,2260,1.8141592920353982
ICLR,2024,强化学习,342,2260,15.132743362831857
ICLR,2024,可信安全,229,2260,10.132743362831858
ICLR,2024,AI4Science/健康,198,2260,8.761061946902656
ICLR,2024,其他,377,2260,16.68141592920354
ICLR,2025,大模型,1026,3703,27.707264380232242
ICLR,2025,多模态,395,3703,10.667026735079666
ICLR,2025,生成模型,744,3703,20.09181744531461
ICLR,2025,强化学习,467,3703,12.611396165271401
ICLR,2025,优化/理论,556,3703,15.014852822036188
ICLR,2025,推荐/检索/图,195,3703,5.2660005401026195
ICLR,2025,可信安全,143,3703,3.8617337294085874
ICLR,2025,其他,177,3703,4.779908182554685
ICLR,2026,大模型,1993,5352,37.23841554559043
ICLR,2026,多模态,690,5352,12.892376681614351
ICLR,2026,生成模型,752,5352,14.050822122571002
ICLR,2026,视觉/三维/视频,513,5352,9.585201793721973
ICLR,2026,优化/理论,645,5352,12.051569506726457
ICLR,2026,可信安全,358,5352,6.6890881913303435
ICLR,2026,AI4Science/健康,145,5352,2.709267563527653
ICLR,2026,其他,256,5352,4.783258594917788
ICML,2020,大模型,77,1084,7.103321033210332
ICML,2020,生成模型,153,1084,14.114391143911439
ICML,2020,强化学习,247,1084,22.785977859778598
ICML,2020,优化/理论,197,1084,18.173431734317344
ICML,2020,可信安全,128,1084,11.808118081180812
ICML,2020,AI4Science/健康,51,1084,4.70479704797048
ICML,2020,其他,231,1084,21.309963099630995
ICML,2021,大模型,147,1183,12.42603550295858
ICML,2021,生成模型,163,1183,13.778529163144547
ICML,2021,强化学习,330,1183,27.89518174133559
ICML,2021,优化/理论,173,1183,14.623837700760777
ICML,2021,可信安全,140,1183,11.834319526627219
ICML,2021,AI4Science/健康,64,1183,5.409974640743871
ICML,2021,其他,166,1183,14.032121724429416
ICML,2022,大模型,137,1233,11.11111111111111
ICML,2022,生成模型,114,1233,9.245742092457421
ICML,2022,强化学习,278,1233,22.54663422546634
ICML,2022,优化/理论,160,1233,12.9764801297648
ICML,2022,推荐/检索/图,95,1233,7.70478507704785
ICML,2022,可信安全,147,1233,11.922141119221411
ICML,2022,其他,302,1233,24.493106244931063
ICML,2023,大模型,244,1828,13.347921225382933
ICML,2023,生成模型,205,1828,11.214442013129103
ICML,2023,强化学习,418,1828,22.86652078774617
ICML,2023,优化/理论,184,1828,10.065645514223196
ICML,2023,推荐/检索/图,159,1828,8.698030634573305
ICML,2023,可信安全,157,1828,8.588621444201312
ICML,2023,AI4Science/健康,47,1828,2.5711159737417946
ICML,2023,其他,414,1828,22.64770240700219
ICML,2024,大模型,476,2610,18.237547892720308
ICML,2024,多模态,247,2610,9.463601532567049
ICML,2024,生成模型,276,2610,10.574712643678161
ICML,2024,视觉/三维/视频,362,2610,13.869731800766283
ICML,2024,强化学习,306,2610,11.724137931034482
ICML,2024,优化/理论,424,2610,16.245210727969347
ICML,2024,推荐/检索/图,178,2610,6.81992337164751
ICML,2024,可信安全,199,2610,7.624521072796934
ICML,2024,AI4Science/健康,72,2610,2.7586206896551726
ICML,2024,其他,70,2610,2.681992337164751
ICML,2025,大模型,754,3330,22.642642642642645
ICML,2025,多模态,344,3330,10.33033033033033
ICML,2025,生成模型,389,3330,11.681681681681681
ICML,2025,强化学习,519,3330,15.585585585585585
ICML,2025,优化/理论,401,3330,12.042042042042041
ICML,2025,推荐/检索/图,172,3330,5.165165165165165
ICML,2025,可信安全,267,3330,8.018018018018019
ICML,2025,其他,484,3330,14.534534534534535
IJCAI,2020,大模型,203,778,26.092544987146532
IJCAI,2020,生成模型,110,778,14.138817480719796
