venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
AAAI,2022,1315,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1315,18766,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACL,2022,700,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,700,10198,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ACMMM,2022,691,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,691,9738,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CHI,2022,634,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,634,8772,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
CVPR,2022,2074,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2074,29676,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ECCV,2022,1645,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1645,23598,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
EMNLP,2022,828,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,828,11991,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ICDE,2022,309,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,309,4414,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'merged_small_to_1'}",0.0,0.0
ICLR,2022,1061,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1061,15105,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
ICML,2022,1233,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1233,17820,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
