venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
WWW,2023,371,8,10,15,22,42,42,0,22,34,15.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2023
AAAI,2024,2331,10,10,15,92,563,563,0,92,65,21.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2024
ACL,2024,940,8,10,15,46,183,183,0,46,59,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2024
ACMMM,2024,1149,8,10,15,66,212,212,0,66,48,15.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2024
AIJ,2024,115,6,10,15,12,13,13,0,12,15,9.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2024
CHI,2024,1050,8,10,15,54,321,321,0,54,40,18.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CHI/year=2024
COLM,2024,299,8,10,15,17,31,31,0,17,37,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=COLM/year=2024
CVPR,2024,2716,10,10,15,107,738,738,0,107,70,23.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2024
ECCV,2024,2387,10,10,15,105,443,443,0,105,66,19.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ECCV/year=2024
EMNLP,2024,1268,8,10,15,64,294,294,0,64,48,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=EMNLP/year=2024
ICDE,2024,483,8,10,15,29,61,61,0,29,33,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICDE/year=2024
ICLR,2024,2260,10,10,15,94,427,427,0,94,63,20.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2024
ICML,2024,2610,10,10,15,97,630,630,0,97,56,23.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICML/year=2024
