area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Data / IR / Web / DB,KDD,conference,2004,84,0,0.0,84
Data / IR / Web / DB,SIGIR,conference,2004,141,0,0.0,141
Data / IR / Web / DB,SIGMOD,conference,2004,84,0,0.0,84
Data / IR / Web / DB,TKDE,journal,2004,199,133,0.6683,199
Data / IR / Web / DB,VLDB,conference,2004,105,0,0.0,105
Data / IR / Web / DB,WWW,conference,2004,74,0,0.0,74
General AI,AAAI,conference,2004,144,0,0.0,0
ML / learning,ICML,conference,2004,117,0,0.0,117
ML / learning,JMLR,journal,2004,31,31,1.0,30
ML / learning,NeurIPS,conference,2004,207,0,0.0,0
ML / learning,TNNLS,journal,2004,1,1,1.0,1
Medical AI,MICCAI,conference,2004,111,0,0.0,111
Multimedia / HCI / graphics,ACMMM,conference,2004,165,104,0.6303,165
Multimedia / HCI / graphics,CHI,conference,2004,93,0,0.0,93
Multimedia / HCI / graphics,TMM,journal,2004,125,84,0.672,123
NLP / language,ACL,conference,2004,88,0,0.0,0
NLP / language,EMNLP,conference,2004,56,0,0.0,0
NLP / language,NAACL,conference,2004,43,0,0.0,0
Robotics / embodied AI,ICRA,conference,2004,170,0,0.0,170
Robotics / embodied AI,IROS,conference,2004,660,0,0.0,660
Computer vision,IJCV,journal,2005,52,0,0.0,51
Computer vision,TPAMI,journal,2005,236,172,0.7288,234
Data / IR / Web / DB,ICDE,conference,2005,127,0,0.0,127
Data / IR / Web / DB,KDD,conference,2005,76,0,0.0,76
Data / IR / Web / DB,SIGIR,conference,2005,127,0,0.0,127
Data / IR / Web / DB,SIGMOD,conference,2005,108,0,0.0,108
Data / IR / Web / DB,TKDE,journal,2005,198,127,0.6414,195
Data / IR / Web / DB,VLDB,conference,2005,104,0,0.0,0
Data / IR / Web / DB,WWW,conference,2005,82,0,0.0,82
General AI,AAAI,conference,2005,262,0,0.0,0
General AI,IJCAI,conference,2005,350,0,0.0,0
ML / learning,ICML,conference,2005,134,0,0.0,134
ML / learning,JMLR,journal,2005,46,46,1.0,41
ML / learning,NeurIPS,conference,2005,207,0,0.0,0
Medical AI,MICCAI,conference,2005,114,0,0.0,114
Multimedia / HCI / graphics,ACMMM,conference,2005,162,0,0.0,162
Multimedia / HCI / graphics,CHI,conference,2005,93,0,0.0,93
Multimedia / HCI / graphics,TMM,journal,2005,152,113,0.7434,152
NLP / language,ACL,conference,2005,77,0,0.0,0
NLP / language,EMNLP,conference,2005,127,0,0.0,0
Robotics / embodied AI,ICRA,conference,2005,768,0,0.0,768
Robotics / embodied AI,IROS,conference,2005,663,0,0.0,663
Robotics / embodied AI,RSS,conference,2005,48,0,0.0,48
AI journals,AIJ,journal,2006,61,0,0.0,61
Computer vision,ECCV,conference,2006,48,0,0.0,48
Computer vision,IJCV,journal,2006,149,0,0.0,149
Computer vision,PR,journal,2006,338,3,0.0089,335
Computer vision,TIP,journal,2006,438,334,0.7626,438
Computer vision,TPAMI,journal,2006,283,207,0.7314,282
Data / IR / Web / DB,ICDE,conference,2006,159,0,0.0,159
Data / IR / Web / DB,KDD,conference,2006,103,0,0.0,103
Data / IR / Web / DB,SIGIR,conference,2006,141,0,0.0,141
Data / IR / Web / DB,SIGMOD,conference,2006,70,0,0.0,70
Data / IR / Web / DB,TKDE,journal,2006,221,146,0.6606,221
Data / IR / Web / DB,VLDB,conference,2006,127,0,0.0,0
Data / IR / Web / DB,WWW,conference,2006,211,0,0.0,211
General AI,AAAI,conference,2006,321,0,0.0,0
ML / learning,ICML,conference,2006,140,0,0.0,140
ML / learning,JMLR,journal,2006,64,64,1.0,59
ML / learning,NeurIPS,conference,2006,204,3,0.0147,0
ML / learning,TNNLS,journal,2006,2,2,1.0,2
Medical AI,MICCAI,conference,2006,114,0,0.0,114
